aa,0.003410%
ab,0.122299%
ac,0.298111%
ad,0.364463%
ae,0.035907%
af,0.079086%
ag,0.183571%
ah,0.012387%
ai,0.377824%
aj,0.014822%
ak,0.241920%
al,0.794303%
am,0.331339%
an,2.133438%
ao,0.002401%
ap,0.123726%
aq,0.004697%
ar,1.217671%
as,0.719497%
at,1.283953%
au,0.142341%
av,0.375910%
aw,0.093595%
ax,0.008872%
ay,0.399570%
az,0.011169%
ba,0.161477%
bb,0.013604%
bc,0.000070%
bd,0.001635%
be,0.726629%
bf,0.000000%
bg,0.000104%
bh,0.002575%
bi,0.081800%
bj,0.008629%
bk,0.000070%
bl,0.203160%
bm,0.001009%
bn,0.000313%
bo,0.195679%
bp,0.000000%
bq,0.000000%
br,0.199367%
bs,0.020772%
bt,0.013813%
bu,0.331513%
bv,0.000070%
bw,0.000522%
bx,0.000000%
by,0.174420%
bz,0.000000%
ca,0.360253%
cb,0.010125%
cc,0.027313%
cd,0.004106%
ce,0.594796%
cf,0.000000%
cg,0.000000%
ch,0.562473%
ci,0.132459%
cj,0.000000%
ck,0.178909%
cl,0.129189%
cm,0.000418%
cn,0.000070%
co,0.628303%
cp,0.000000%
cq,0.004314%
cr,0.104798%
cs,0.001531%
ct,0.164713%
cu,0.099370%
cv,0.000000%
cw,0.000000%
cx,0.000035%
cy,0.027800%
cz,0.000000%
da,0.186807%
db,0.000348%
dc,0.000905%
dd,0.026930%
de,0.584219%
df,0.007098%
dg,0.030688%
dh,0.000696%
di,0.359070%
dj,0.000591%
dk,0.001531%
dl,0.035385%
dm,0.013917%
dn,0.013987%
do,0.388888%
dp,0.000731%
dq,0.000000%
dr,0.110609%
ds,0.201350%
dt,0.000487%
du,0.099788%
dv,0.014439%
dw,0.017327%
dx,0.000000%
dy,0.083609%
dz,0.000000%
ea,0.969628%
eb,0.027174%
ec,0.223549%
ed,0.519259%
ee,0.597197%
ef,0.131485%
eg,0.071362%
eh,0.023242%
ei,0.189277%
ej,0.001914%
ek,0.025330%
el,0.612471%
em,0.293971%
en,1.377548%
eo,0.056818%
ep,0.137435%
eq,0.013430%
er,2.054178%
es,1.164124%
et,0.539161%
eu,0.067430%
ev,0.188755%
ew,0.091542%
ex,0.147734%
ey,0.184197%
ez,0.002923%
fa,0.269824%
fb,0.000000%
fc,0.000035%
fd,0.000000%
fe,0.238719%
ff,0.128667%
fg,0.000000%
fh,0.000000%
fi,0.196201%
fj,0.000000%
fk,0.000000%
fl,0.073101%
fm,0.000000%
fn,0.000139%
fo,0.611567%
fp,0.000348%
fq,0.000000%
fr,0.210258%
fs,0.004662%
ft,0.065551%
fu,0.081173%
fv,0.000000%
fw,0.000070%
fx,0.000000%
fy,0.005915%
fz,0.000000%
ga,0.142062%
gb,0.007794%
gc,0.000000%
gd,0.004419%
ge,0.335932%
gf,0.000418%
gg,0.017919%
gh,0.324311%
gi,0.112488%
gj,0.000000%
gk,0.000000%
gl,0.087889%
gm,0.007272%
gn,0.037125%
go,0.307819%
gp,0.000139%
gq,0.000000%
gr,0.191330%
gs,0.058244%
gt,0.006994%
gu,0.095787%
gv,0.000000%
gw,0.000104%
gx,0.000000%
gy,0.003793%
gz,0.000000%
ha,1.543513%
hb,0.006611%
hc,0.000835%
hd,0.001635%
he,2.896601%
hf,0.005010%
hg,0.000070%
hh,0.000557%
hi,1.147458%
hj,0.000000%
hk,0.000000%
hl,0.006715%
hm,0.010299%
hn,0.027174%
ho,0.842527%
hp,0.000209%
hq,0.000244%
hr,0.073832%
hs,0.022964%
ht,0.220417%
